was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time
False,0.05,True,US,02/06/2013,2049,N749US,DCA,20:00
False,0.05,True,US,02/06/2013,2115,N950UW,LGA,06:00
False,0.05,True,US,02/06/2013,2117,N951UW,LGA,07:00
False,0.05,True,US,02/06/2013,2119,N742PS,LGA,08:00
False,0.05,True,US,02/06/2013,2121,N949UW,LGA,09:00
False,0.05,True,US,02/06/2013,2123,N950UW,LGA,10:00
False,0.05,True,US,02/06/2013,2125,N955UW,LGA,11:00
False,0.05,True,US,02/06/2013,2127,N951UW,LGA,12:00
False,0.05,True,US,02/06/2013,2129,N949UW,LGA,13:00
True,0.05,True,US,02/06/2013,2131,N950UW,LGA,14:00
False,0.05,True,US,02/06/2013,2133,N955UW,LGA,15:00
False,0.05,True,US,02/06/2013,2135,N951UW,LGA,16:00
False,0.05,True,US,02/06/2013,2137,N949UW,LGA,17:00
False,0.05,True,US,02/06/2013,2139,N950UW,LGA,18:00
False,0.05,True,US,02/06/2013,2141,N952UW,LGA,19:00
False,0.05,True,US,02/06/2013,2143,N951UW,LGA,20:00
False,0.05,True,US,02/06/2013,2145,N955UW,LGA,06:45
False,0.0,False,US,02/07/2013,0225,N668AW,PHX,16:20
False,0.0,False,US,02/07/2013,0280,N831AW,PHX,06:00
False,0.0,False,US,02/07/2013,0303,N657AW,CLT,09:35
False,0.0,False,US,02/07/2013,0604,N656AW,PHX,09:55
False,0.0,False,US,02/07/2013,0722,N703UW,PHL,18:30
False,0.0,False,US,02/07/2013,0754,N949UW,PHL,15:30
False,0.0,False,US,02/07/2013,0897,N951UW,PHL,09:30
False,0.0,False,US,02/07/2013,0967,N716UW,PHL,07:30
False,0.0,False,US,02/07/2013,1021,N162UW,CLT,08:00
False,0.0,False,US,02/07/2013,1239, ,PHL,08:30
False,0.0,False,US,02/07/2013,1249,N708UW,CLT,05:00
False,0.0,False,US,02/07/2013,1289,N952UW,PHL,05:30
False,0.0,False,US,02/07/2013,1521,N554UW,CLT,06:00
False,0.0,False,US,02/07/2013,1543,N187US,CLT,14:40
False,0.0,False,US,02/07/2013,1605,N958UW,PHL,13:30
False,0.0,False,US,02/07/2013,1635,N965UW,PHL,16:30
True,0.0,False,US,02/07/2013,1667,N713UW,CLT,17:02
False,0.0,False,US,02/07/2013,1727,N705UW,PHL,12:30
False,0.0,False,US,02/07/2013,1747,N183UW,CLT,12:45
False,0.0,False,US,02/07/2013,1779,N951UW,PHL,14:30
True,0.0,False,US,02/07/2013,1788,N176UW,CLT,19:00
False,0.0,False,US,02/07/2013,1807,N712US,PHL,06:30
False,0.0,False,US,02/07/2013,1819,N961UW,PHL,10:30
False,0.0,False,US,02/07/2013,1827,N950UW,PHL,11:30
False,0.0,False,US,02/07/2013,1829,N951UW,PHL,19:30
False,0.0,False,US,02/07/2013,1845,N744P ,PHL,17:30
True,0.0,False,US,02/07/2013,1981,N196UW,CLT,11:10
False,0.0,False,US,02/07/2013,1991,N126UW,PHL,07:00
False,0.0,False,US,02/07/2013,2021,N118US,DCA,06:00
False,0.0,False,US,02/07/2013,2023,N737US,DCA,07:00
False,0.0,False,US,02/07/2013,2025,N751UW,DCA,08:00
False,0.0,False,US,02/07/2013,2027,N738US,DCA,09:00
True,0.0,False,US,02/07/2013,2029,N737US,DCA,10:00
False,0.0,False,US,02/07/2013,2031,N124US,DCA,11:00
True,0.0,False,US,02/07/2013,2033,N751UW,DCA,12:00
True,0.0,False,US,02/07/2013,2035,N738US,DCA,13:00
False,0.0,False,US,02/07/2013,2037, ,DCA,14:00
False,0.0,False,US,02/07/2013,2039,N758US,DCA,15:00
False,0.0,False,US,02/07/2013,2041,N124US,DCA,16:00
False,0.0,False,US,02/07/2013,2043,N751UW,DCA,17:00
False,0.0,False,US,02/07/2013,2045,N738US,DCA,18:00
True,0.0,False,US,02/07/2013,2047,N710UW,DCA,19:00
True,0.0,False,US,02/07/2013,2049,N740UW,DCA,20:00
False,0.0,False,US,02/07/2013,2115,N954UW,LGA,06:00
False,0.0,False,US,02/07/2013,2117,N949UW,LGA,07:00
False,0.0,False,US,02/07/2013,2119,N766US,LGA,08:00
True,0.0,False,US,02/07/2013,2121,N953UW,LGA,09:00
False,0.0,False,US,02/07/2013,2123,N954UW,LGA,10:00
False,0.0,False,US,02/07/2013,2125,N955UW,LGA,11:00
False,0.0,False,US,02/07/2013,2127,N949UW,LGA,12:00
True,0.0,False,US,02/07/2013,2129,N953UW,LGA,13:00
False,0.0,False,US,02/07/2013,2131,N954UW,LGA,14:00
False,0.0,False,US,02/07/2013,2133,N955UW,LGA,15:00
False,0.0,False,US,02/07/2013,2135,N961UW,LGA,16:00
True,0.0,False,US,02/07/2013,2137,N953UW,LGA,17:00
False,0.0,False,US,02/07/2013,2139,N954UW,LGA,18:00
False,0.0,False,US,02/07/2013,2141,N955UW,LGA,19:00
False,0.0,False,US,02/07/2013,2143,N961UW,LGA,20:00
False,0.0,False,US,02/07/2013,2145,N950UW,LGA,06:45
False,0.85,True,US,02/08/2013,0225, ,PHX,16:20
False,0.85,True,US,02/08/2013,0280,N810AW,PHX,06:00
False,0.85,True,US,02/08/2013,0303,N660AW,CLT,09:35
True,0.85,True,US,02/08/2013,0604,N669AW,PHX,09:55
False,0.85,True,US,02/08/2013,0722, ,PHL,18:30
False,0.85,True,US,02/08/2013,0754, ,PHL,15:30
False,0.85,True,US,02/08/2013,0897,N958UW,PHL,09:30
False,0.85,True,US,02/08/2013,0967,N765US,PHL,07:30
False,0.85,True,US,02/08/2013,1029,N196UW,CLT,08:00
False,0.85,True,US,02/08/2013,1097, ,PHL,20:30
False,0.85,True,US,02/08/2013,1239,N952UW,PHL,08:30
False,0.85,True,US,02/08/2013,1249,N709UW,CLT,05:00
False,0.85,True,US,02/08/2013,1289,N955UW,PHL,05:30
False,0.85,True,US,02/08/2013,1521,N188US,CLT,06:00
False,0.85,True,US,02/08/2013,1605,N949UW,PHL,13:30
False,0.85,True,US,02/08/2013,1635, ,PHL,16:30
False,0.85,True,US,02/08/2013,1667, ,CLT,17:02
True,0.85,True,US,02/08/2013,1727,N740UW,PHL,12:30
False,0.85,True,US,02/08/2013,1747,N556UW,CLT,12:45
False,0.85,True,US,02/08/2013,1779, ,PHL,14:30
False,0.85,True,US,02/08/2013,1788, ,CLT,19:00
